model,variable,coef,se,tstat,pvalue,ci_lo,ci_hi,n,adj_r2
M1_bivariate,Intercept,775.9372440861429,31.87210818988895,24.34533791938808,6.49541215943078e-131,713.4690599225964,838.4054282496893,323,-0.003
M1_bivariate,pct_nonwhite,0.14832607872019507,0.5005438277925649,0.2963298526211461,0.7669781900663987,-0.832721796437051,1.1293739538774412,323,-0.003
M2_full,Intercept,1613.1518844967302,682.2950718741916,2.3643024125406247,0.018064060339830983,275.878116794147,2950.4256521993134,323,0.206
M2_full,pct_nonwhite,-1.2696755950650431,0.9072824217533201,-1.3994270853516588,0.16168494939650846,-3.0479164655078304,0.5085652753777439,323,0.206
M2_full,log_income,-11.680518728560926,49.12327459064756,-0.2377797251078361,0.812051944740521,-107.96036772890172,84.59933027177986,323,0.206
M2_full,log_pop,-84.44462483537654,44.96301975540691,-1.8780906018933898,0.060368771778636025,-172.57052419213704,3.681274521383955,323,0.206
M2_full,south_of_i30,377.5972185143714,46.42969572498231,8.132666230487455,4.1994973716145117e-16,286.59668708025276,468.59774994849,323,0.206
M3_split_race,Intercept,2723.4218932022586,682.8821713026308,3.988128563976417,6.659657202919896e-05,1384.9974317645906,4061.8463546399266,323,0.273
M3_split_race,pct_black,-5.512595731260921,1.0766069695999012,-5.120341858189497,3.04982279228451e-07,-7.622706617181537,-3.402484845340306,323,0.273
M3_split_race,pct_hispanic,-0.9648147030607354,0.8521534945196442,-1.1322076471734683,0.25754714585040694,-2.6350048616191883,0.7053754554977175,323,0.273
M3_split_race,log_income,-106.24256387200211,49.53482099522132,-2.144805648581055,0.03196838940162293,-203.3290290032744,-9.156098740729817,323,0.273
M3_split_race,log_pop,-81.5491153310828,43.64216207875428,-1.8685855935350701,0.06168049162336325,-167.0861812129009,3.9879505507352917,323,0.273
M3_split_race,south_of_i30,397.6597760345372,44.50932164748335,8.934303227176272,4.097521739500318e-19,310.4231086291608,484.8964434399135,323,0.273
M4_cip_type_fe,Intercept,3315.2522426201,430.2634385487604,7.7051683819618635,1.3067087882701917e-14,2471.9513992001666,4158.553086040033,323,0.69
M4_cip_type_fe,pct_nonwhite,-2.632412708514792,0.6094969435204979,-4.31899246829654,1.567431305837293e-05,-3.8270047665022116,-1.4378206505273727,323,0.69
M4_cip_type_fe,log_income,-23.477453109010874,33.513365340714444,-0.7005400045721095,0.4835901310894988,-89.16244217754411,42.20753595952235,323,0.69
M4_cip_type_fe,log_pop,-27.94886421778431,27.492367315086263,-1.0166044959848746,0.3093416145360266,-81.83291400509952,25.935185569530912,323,0.69
M4_cip_type_fe,south_of_i30,309.7367498984567,23.172031529076484,13.366836201210761,9.447452322215482e-41,264.3204026528402,355.15309714407323,323,0.69
M4_cip_type_fe,cip_econdev_share,3396.879337650667,581.5834557400393,5.840742724237724,5.196860784454903e-09,2256.996710395845,4536.761964905489,323,0.69
M4_cip_type_fe,cip_parks_share,-5580.854059941379,402.5579515301723,-13.863479875947963,1.054361592659288e-43,-6369.853146630738,-4791.8549732520205,323,0.69
M4_cip_type_fe,cip_streets_share,-2171.694504664749,109.9363629068381,-19.75410544102754,7.3954363286562475e-87,-2387.165816553477,-1956.223192776021,323,0.69
M5_log_log,Intercept,7.599232145941033,0.8437989546949727,9.005974828077504,2.137582100502347e-19,5.945416584546342,9.253047707335725,323,0.191
M5_log_log,pct_nonwhite,-0.0015154240305310313,0.001124607779978968,-1.3475133797841699,0.17781494718647672,-0.003719614776023354,0.0006887667149612915,323,0.191
M5_log_log,log_income,-0.0011249154578877457,0.06027292457041912,-0.018663694617530376,0.9851093907051521,-0.11925767685880853,0.11700784594303304,323,0.191
M5_log_log,log_pop,-0.11951293784157244,0.05561083433148124,-2.149094493515201,0.03162691017770371,-0.22850817028149925,-0.010517705401645622,323,0.191
M5_log_log,south_of_i30,0.4432225098669573,0.050204645335568863,8.828316720583308,1.062627938629819e-18,0.34482321315263553,0.5416218065812791,323,0.191
M6_inv_gap,Intercept,-3423.685874376062,799.2530105935964,-4.283607104380287,1.8388751589564942e-05,-4990.1929896747215,-1857.178759077403,323,0.404
M6_inv_gap,pct_nonwhite,-0.4435905026123696,0.9608472223938002,-0.46166600919887496,0.6443208501043418,-2.3268164531495654,1.4396354479248263,323,0.404
M6_inv_gap,log_income,398.6470645349531,60.12832616632738,6.629937833829149,3.3582827504241255e-11,280.79771079827407,516.4964182716321,323,0.404
M6_inv_gap,log_pop,-86.2756433697346,46.92251929241736,-1.8386831029270132,0.06596181012317612,-178.2420912467585,5.6908045072893,323,0.404
M6_inv_gap,south_of_i30,366.93552657613685,47.88681330785882,7.662558880607705,1.8226452374426054e-14,273.0790971583402,460.7919559939335,323,0.404
M7_holc,Intercept,1506.124491317341,662.8082172515624,2.272338290497847,0.02306608578614874,207.04425684707894,2805.204725787603,323,0.232
M7_holc,pct_nonwhite,-0.8992674186550835,0.900088238622796,-0.9990880672222,0.31775203116083084,-2.6634079492638576,0.8648731119536905,323,0.232
M7_holc,log_income,3.4380639886705815,47.67405821169611,0.07211603370126156,0.9425095664004156,-90.0013731031198,96.87750108046096,323,0.232
M7_holc,log_pop,-95.6742183775746,44.09737490075514,-2.169612558409599,0.03003620920440732,-182.10348499581522,-9.244951759333986,323,0.232
M7_holc,south_of_i30,357.6862215847853,46.472299997150515,7.696761761451813,1.3955774583561996e-14,266.60218731162945,448.77025585794115,323,0.232
M7_holc,holc_d,247.63028548879515,46.88601524084637,5.281538305542832,1.2810369112291712e-07,155.7353842381402,339.5251867394501,323,0.232
M8_district_fe,Intercept,1097.3737013752686,3.4515274864851484e-12,317938566525157.7,0.0,1097.3737013752618,1097.3737013752755,323,1.0
M8_district_fe,C(DISTRICT_NUM)[T.2],-56.415377009906436,3.5942571051092523e-13,-156959770434095.34,0.0,-56.41537700990714,-56.41537700990573,323,1.0
M8_district_fe,C(DISTRICT_NUM)[T.3],-595.6499455596963,2.0982991720068011e-13,-2838727448908156.5,0.0,-595.6499455596968,-595.6499455596959,323,1.0
M8_district_fe,C(DISTRICT_NUM)[T.4],-513.0291839305982,3.1764153921980127e-13,-1615119940517580.5,0.0,-513.0291839305987,-513.0291839305976,323,1.0
M8_district_fe,C(DISTRICT_NUM)[T.5],-560.6073293051209,4.128556249823396e-13,-1357877416176905.8,0.0,-560.6073293051217,-560.6073293051201,323,1.0
M8_district_fe,C(DISTRICT_NUM)[T.6],47.080959440352174,2.6932495643149535e-13,174810979510276.25,0.0,47.08095944035165,47.0809594403527,323,1.0
M8_district_fe,C(DISTRICT_NUM)[T.7],357.8746813263853,2.409522169201998e-13,1485251664834894.0,0.0,357.87468132638486,357.87468132638577,323,1.0
M8_district_fe,C(DISTRICT_NUM)[T.8],-450.85106731848515,6.467036887234561e-13,-697152459743087.0,0.0,-450.8510673184864,-450.8510673184839,323,1.0
M8_district_fe,C(DISTRICT_NUM)[T.9],-564.6243355199379,2.604520534589129e-13,-2167862867738952.2,0.0,-564.6243355199383,-564.6243355199374,323,1.0
M8_district_fe,C(DISTRICT_NUM)[T.10],-648.6922479676873,2.577774435283876e-13,-2516481811164561.5,0.0,-648.6922479676878,-648.6922479676869,323,1.0
M8_district_fe,C(DISTRICT_NUM)[T.11],-575.5010026245429,3.5445940803477187e-13,-1623601996672316.5,0.0,-575.5010026245436,-575.5010026245423,323,1.0
M8_district_fe,C(DISTRICT_NUM)[T.12],357.87468132638605,1.3620683320234802e-12,262743559124327.97,0.0,357.8746813263834,357.8746813263887,323,1.0
M8_district_fe,C(DISTRICT_NUM)[T.13],-376.945817761248,2.7506563733632725e-13,-1370384979423475.5,0.0,-376.9458177612485,-376.9458177612475,323,1.0
M8_district_fe,C(DISTRICT_NUM)[T.14],-136.71139896012284,2.818834510391181e-13,-484992639532963.7,0.0,-136.71139896012338,-136.7113989601223,323,1.0
M8_district_fe,pct_nonwhite,-2.5424107263916085e-14,5.3579517598998785e-15,-4.745116866149458,2.0838598919161106e-06,-3.5925499744222846e-14,-1.4922714783609324e-14,323,1.0
M8_district_fe,log_income,5.3290705182007514e-14,2.4984391118107703e-13,0.21329599320667258,0.8310960986084517,-4.363943624895276e-13,5.429757728535426e-13,323,1.0
M8_district_fe,log_pop,-8.79296635503124e-14,2.1367819674668984e-13,-0.4115050804858243,0.6807022166978267,-5.067312334552883e-13,3.3087190635466346e-13,323,1.0
